# freq	REsusc	std_dev_REsusc	IMsusc	std_dev_IMsusc
1.859999999999999787e+01	1.608335999999999988e+00	nan	1.113389999999999880e+00	nan
1.889999999999999858e+01	1.583232000000000195e+00	nan	1.090975999999999946e+00	nan
1.919999999999999929e+01	1.557504999999999917e+00	nan	1.071407999999999916e+00	nan
1.950000000000000000e+01	1.535399999999999876e+00	nan	1.050218000000000096e+00	nan
1.980000000000000071e+01	1.503911999999999694e+00	nan	1.023465999999999987e+00	nan
2.009999999999999787e+01	1.477064999999999850e+00	nan	1.001168000000000058e+00	nan
2.039999999999999858e+01	1.448700000000000099e+00	nan	9.758080000000000087e-01	nan
2.069999999999999929e+01	1.416360000000000285e+00	nan	9.467420000000000835e-01	nan
2.100000000000000000e+01	1.388566999999999885e+00	nan	9.220559999999999867e-01	nan
2.130000000000000071e+01	1.362504000000000381e+00	nan	8.927900000000000835e-01	nan
2.159999999999999787e+01	1.344633000000000189e+00	nan	8.636559999999999793e-01	nan
2.189999999999999858e+01	1.321992000000000278e+00	nan	8.334939999999999571e-01	nan
2.219999999999999929e+01	1.299477000000000215e+00	nan	8.037640000000001450e-01	nan
2.250000000000000000e+01	1.289539999999999687e+00	nan	7.753919999999999702e-01	nan
2.280000000000000071e+01	1.270752000000000104e+00	nan	7.424140000000000184e-01	nan
2.309999999999999787e+01	1.245624000000000065e+00	nan	7.057700000000000085e-01	nan
2.339999999999999858e+01	1.218899999999999872e+00	nan	6.669279999999998543e-01	nan
2.369999999999999929e+01	1.218314999999999815e+00	nan	6.304520000000000124e-01	nan
2.400000000000000000e+01	1.218355999999999772e+00	nan	5.896799999999999820e-01	nan
2.430000000000000071e+01	1.217850999999999795e+00	nan	5.491799999999998905e-01	nan
2.459999999999999787e+01	1.225823999999999803e+00	nan	5.107599999999999918e-01	nan
2.489999999999999858e+01	1.238159999999999705e+00	nan	4.709119999999999417e-01	nan
2.519999999999999929e+01	1.242296999999999985e+00	nan	4.343040000000000234e-01	nan
2.550000000000000000e+01	1.250447999999999782e+00	nan	3.984639999999999294e-01	nan
2.580000000000000071e+01	1.256142999999999565e+00	nan	3.599759999999999627e-01	nan
2.609999999999999787e+01	1.267488999999999866e+00	nan	3.268800000000000039e-01	nan
2.639999999999999858e+01	1.280421000000000031e+00	nan	2.961400000000000143e-01	nan
2.669999999999999929e+01	1.292524999999999924e+00	nan	2.697479999999999878e-01	nan
2.700000000000000000e+01	1.308751999999999915e+00	nan	2.458859999999999935e-01	nan
2.730000000000000071e+01	1.326868709999999840e+00	nan	2.249575999999999798e-01	nan
2.759999999999999787e+01	1.342179959999999728e+00	nan	2.086951999999999974e-01	nan
2.789999999999999858e+01	1.357368159999999824e+00	nan	1.934207999999999761e-01	nan
2.819999999999999929e+01	1.372439039999999943e+00	nan	1.793871999999999689e-01	nan
2.850000000000000000e+01	1.389762510000000173e+00	nan	1.669934000000000140e-01	nan
2.879999999999999716e+01	1.409351790000000326e+00	nan	1.571858000000000144e-01	nan
2.909999999999999787e+01	1.421767159999999919e+00	nan	1.485335999999999879e-01	nan
2.939999999999999858e+01	1.441334789999999977e+00	nan	1.415955999999999881e-01	nan
2.969999999999999929e+01	1.456161509999999826e+00	nan	1.345712000000000019e-01	nan
3.000000000000000000e+01	1.470944439999999798e+00	nan	1.296551999999999982e-01	nan
3.029999999999999716e+01	1.485747750000000034e+00	nan	1.256599999999999939e-01	nan
3.059999999999999787e+01	1.495705909999999861e+00	nan	1.216655999999999987e-01	nan
